Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2018-03-23,29.0,31.6,27.84,28.48,56108700,0,0
2018-03-26,30.45,30.66,27.75,30.45,16985700,0,0
2018-03-27,30.41,30.68,29.0,29.9,6911000,0,0
2018-03-28,29.26,31.19,28.61,30.98,5113300,0,0
2018-03-29,31.98,34.37,30.79,31.25,15800200,0,0
2018-04-02,31.19,31.39,29.31,30.01,5907700,0,0
2018-04-03,30.51,31.6,29.45,31.59,4305300,0,0
2018-04-04,30.32,31.47,30.2,30.85,2951200,0,0
2018-04-05,31.2,31.76,30.3,30.53,2734400,0,0
2018-04-06,30.37,31.0,30.0,30.24,1626700,0,0
2018-04-09,30.64,31.0,30.13,30.14,1128800,0,0
2018-04-10,30.44,31.74,30.25,31.23,2470300,0,0
2018-04-11,31.3,32.49,30.87,32.32,2391500,0,0
2018-04-12,33.11,34.83,32.92,33.27,5592300,0,0
2018-04-13,31.27,32.24,29.73,30.0,8525200,0,0
2018-04-16,30.2,30.4,28.0,29.02,5727900,0,0
2018-04-17,29.9,30.0,28.61,29.83,3438400,0,0
2018-04-18,30.01,31.17,29.61,30.56,2968200,0,0
2018-04-19,30.65,30.88,29.4,29.9,1575900,0,0
2018-04-20,29.7,29.9,28.67,28.92,1742500,0,0
2018-04-23,29.18,29.65,28.93,29.11,1468100,0,0
2018-04-24,29.23,29.8,28.29,28.94,1495200,0,0
2018-04-25,28.94,29.04,28.19,28.64,1258300,0,0
2018-04-26,28.87,29.5,28.53,29.33,1935700,0,0
2018-04-27,29.59,30.15,29.25,29.61,1263200,0,0
2018-04-30,29.8,30.33,29.62,30.11,1242300,0,0
2018-05-01,30.3,31.34,29.8,30.9,1735200,0,0
2018-05-02,30.97,31.5,30.5,31.01,1576100,0,0
2018-05-03,30.75,31.01,29.74,30.19,1127700,0,0
2018-05-04,30.13,30.4,29.05,29.13,1793100,0,0
2018-05-07,29.49,29.88,29.33,29.41,1807900,0,0
2018-05-08,29.57,30.3,29.5,30.23,1518900,0,0
2018-05-09,30.6,31.5,30.14,31.4,3258800,0,0
2018-05-10,32.3,32.3,31.41,32.0,6650900,0,0
2018-05-11,31.95,32.38,30.59,31.28,7338600,0,0
2018-05-14,31.62,31.75,29.7,29.96,4929300,0,0
