Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2018-08-14,13.02,13.85,12.61,13.0,519800,0,0
2018-08-15,13.0,13.03,12.85,12.96,81700,0,0
2018-08-16,12.86,13.0,12.85,12.92,21200,0,0
2018-08-17,12.85,12.98,12.85,12.93,14900,0,0
2018-08-20,13.04,13.04,12.85,12.85,27400,0,0
2018-08-21,12.85,12.95,12.68,12.92,42400,0,0
2018-08-22,12.86,12.99,12.86,12.87,13100,0,0
2018-08-23,13.0,13.01,12.9,13.01,20900,0,0
2018-08-24,12.99,13.38,12.99,13.04,21400,0,0
2018-08-27,13.19,13.22,13.04,13.11,20100,0,0
2018-08-28,13.13,13.22,13.13,13.2,14400,0,0
2018-08-29,13.2,13.6,13.13,13.5,131600,0,0
2018-08-30,13.85,13.85,13.52,13.65,18200,0,0
2018-08-31,13.59,13.59,13.24,13.45,38100,0,0
2018-09-04,13.38,13.7,13.26,13.69,22100,0,0
2018-09-05,13.71,13.71,13.54,13.63,27300,0,0
2018-09-06,13.7,13.71,13.27,13.3,15800,0,0
2018-09-07,13.21,13.46,11.25,12.12,40800,0,0
2018-09-10,12.5,12.67,12.02,12.19,17200,0,0
2018-09-11,12.33,12.53,12.3,12.37,9100,0,0
2018-09-12,12.6,12.81,12.42,12.74,18900,0,0
2018-09-13,12.57,12.88,12.5,12.7,8300,0,0
2018-09-14,12.7,12.8,11.91,11.92,13700,0,0
2018-09-17,12.18,12.7,12.01,12.69,10300,0,0
2018-09-18,12.97,13.0,12.57,12.57,3100,0,0
2018-09-19,12.57,13.0,12.55,12.8,8800,0,0
2018-09-20,13.07,13.07,12.81,13.07,7600,0,0
2018-09-21,12.94,13.06,12.01,12.01,18500,0,0
2018-09-24,12.75,13.3,12.75,12.97,12900,0,0
2018-09-25,13.38,13.38,12.89,13.1,10100,0,0
2018-09-26,13.18,13.2,12.89,13.18,3700,0,0
2018-09-27,13.15,13.15,12.93,12.93,9400,0,0
2018-09-28,12.99,13.12,12.99,13.06,3300,0,0
2018-10-01,13.06,13.06,12.45,12.45,5200,0,0
2018-10-02,12.79,13.03,12.67,13.0,3700,0,0
2018-10-03,12.96,12.98,12.83,12.98,2800,0,0
2018-10-04,12.97,13.03,12.83,13.03,2600,0,0
2018-10-05,12.92,12.96,12.81,12.86,2500,0,0
2018-10-08,12.58,12.84,12.58,12.83,3500,0,0
2018-10-09,12.81,12.96,12.4,12.4,1500,0,0
2018-10-10,12.41,13.0,12.41,12.62,2300,0,0
2018-10-11,12.73,12.75,12.57,12.61,6200,0,0
2018-10-12,12.79,12.96,12.7,12.7,4000,0,0
2018-10-15,12.7,12.7,12.7,12.7,400,0,0
2018-10-16,12.8,12.8,12.6,12.6,3300,0,0
2018-10-17,12.8,12.8,12.6,12.6,2000,0,0
2018-10-18,12.66,12.66,12.64,12.64,600,0,0
2018-10-19,12.6,12.66,12.23,12.5,5000,0,0
2018-10-22,12.65,12.95,12.65,12.92,5600,0,0
2018-10-23,13.0,13.0,12.5,12.6,5600,0,0
2018-10-24,12.54,12.54,12.22,12.32,7500,0,0
2018-10-25,12.32,12.4,12.32,12.35,2000,0,0
2018-10-26,12.35,12.41,12.3,12.35,2900,0,0
